"","zip","Total_calls"
"1",17752,1
"2",18036,2
"3",18041,414
"4",18054,326
"5",18056,6
"6",18070,54
"7",18073,736
"8",18074,435
"9",18076,306
"10",18092,14
"11",18103,4
"12",18914,66
"13",18915,118
"14",18927,2
"15",18932,11
"16",18936,254
"17",18951,10
"18",18960,34
"19",18964,1287
"20",18966,44
"21",18969,672
"22",18974,215
"23",18976,45
"24",19001,1514
"25",19002,3050
"26",19003,1094
"27",19004,1280
"28",19006,2256
"29",19009,49
"30",19010,1316
"31",19012,593
"32",19025,493
"33",19027,1818
"34",19031,566
"35",19034,796
"36",19035,481
"37",19038,2578
"38",19040,2043
"39",19041,436
"40",19044,1595
"41",19046,2564
"42",19053,6
"43",19066,451
"44",19072,728
"45",19075,302
"46",19082,3
"47",19083,20
"48",19085,304
"49",19087,344
"50",19090,2635
"51",19095,1023
"52",19096,1115
"53",19107,1
"54",19111,36
"55",19115,8
"56",19116,4
"57",19118,51
"58",19119,1
"59",19120,26
"60",19126,32
"61",19127,1
"62",19128,122
"63",19129,2
"64",19131,137
"65",19138,2
"66",19139,1
"67",19150,288
"68",19151,287
"69",19355,2
"70",19401,6979
"71",19403,4854
"72",19405,428
"73",19406,3174
"74",19422,1963
"75",19423,4
"76",19426,2461
"77",19428,2296
"78",19435,35
"79",19438,1990
"80",19440,1190
"81",19444,1008
"82",19446,4748
"83",19453,101
"84",19454,2781
"85",19457,1
"86",19460,427
"87",19462,2078
"88",19464,6643
"89",19465,458
"90",19468,2990
"91",19472,6
"92",19473,1012
"93",19475,73
"94",19477,10
"95",19490,1
"96",19492,40
"97",19503,4
"98",19504,101
"99",19505,27
"100",19512,220
"101",19518,57
"102",19525,965
"103",36107,1
"104",77316,1
"105",NA,12855
